arid,era5_bias,era5_corr,era5_nse,era5_rmse,era5_ub_rmse,gleam_bias,gleam_corr,gleam_nse,gleam_rmse,gleam_ub_rmse,ml_bias,ml_corr,ml_nse,ml_rmse,ml_ub_rmse,region,temp
2.206,10.8,0.596,-2.392,-7280.74,0.025,-1.84,0.747,0.555,347.775,0.009,10.841,0.66,-0.299,-4506.477,0.015,SAmerica,297.934
1.812,-0.276,0.754,0.555,56.428,0.021,-0.928,0.678,0.351,250.022,0.025,-0.401,0.757,0.564,55.857,0.021,SAmerica,295.372
2.001,-0.318,0.711,0.137,1376.993,0.019,-1.144,0.777,0.568,974.209,0.013,4.965,0.783,0.602,935.489,0.013,SAmerica,297.128
1.599,1.025,0.477,0.153,215.333,0.028,-1.995,0.43,0.177,212.274,0.028,-0.052,0.531,0.28,198.593,0.026,Australia,294.426
2.236,-1.977,0.478,0.121,-1118.3,0.031,-1.775,0.577,0.312,-533.031,0.028,-1.537,0.51,0.259,-1026.625,0.028,Australia,295.925
1.234,0.275,0.585,-1.094,949.323,0.025,-0.801,0.611,0.339,-112.731,0.014,-0.983,0.599,0.278,557.539,0.015,SAmerica,296.057
3.705,1.784,0.1,-0.05,-41.305,0.012,-0.336,0.783,0.46,-29.611,0.009,0.267,0.651,0.329,-33.017,0.01,Africa,296.661
1.064,-1.696,0.522,-0.675,1521.235,0.021,-1.184,0.595,0.352,-315.926,0.013,-2.574,0.582,0.242,1023.269,0.014,SAmerica,293.38
26.977,-0.395,-0.001,-0.819,-650.06,0.005,-1.043,0.584,-2.855,-946.363,0.008,-0.993,0.13,0.017,-478.004,0.004,Africa,294.368
2.168,-2.141,0.337,-0.284,91.402,0.021,-1.363,0.333,0.108,76.204,0.017,-1.346,0.454,0.171,73.437,0.016,Africa,290.362
1.389,-2.343,0.235,-1.665,-1406.947,0.024,-2.975,0.209,0.007,-858.894,0.015,-2.38,0.349,-0.068,-890.686,0.015,Africa,290.036
1.934,-0.659,0.353,0.03,59.216,0.022,-0.9,0.473,0.207,53.552,0.02,-0.582,0.372,0.12,56.402,0.021,SAmerica,300.031
1.74,-0.683,0.604,0.344,-170.216,0.017,-0.554,0.618,0.308,130.832,0.016,-1.406,0.692,0.466,-153.553,0.016,SAmerica,300.138
2.267,-8.934,0.368,-1.763,-5315.605,0.019,-1.473,0.487,-0.059,-138.774,0.011,-25.755,0.443,-0.202,-3506.5,0.012,SAmerica,300.433
2.267,-1.644,0.271,-0.17,-615.236,0.032,-0.728,0.525,0.253,-491.554,0.025,-0.891,0.459,0.209,-505.949,0.026,SAmerica,300.433
2.008,-0.823,0.357,-1.072,40.244,0.021,-0.559,0.65,0.398,21.687,0.011,-0.319,0.45,0.059,27.125,0.014,SAmerica,299.222
